Team Name,Wins,Drives,Yards,Start,Pts/G,SC,TO
Baltimore Ravens,14,166,39.3,29.1,33.2,51.8,8.4
San Francisco 49ers,13,183,33.1,32.1,29.9,44.3,12
Tampa Bay Buccaneers,7,198,32.1,28.1,28.6,37.9,20.2
New Orleans Saints,13,185,34.1,31.2,28.6,45.4,4.9
Kansas City Chiefs,12,164,37,28.8,28.2,48.8,7.9
Dallas Cowboys,8,175,39.4,26.3,27.1,44.6,10.3
New England Patriots,12,201,29.9,32.2,26.3,35.8,7.5
Minnesota Vikings,10,187,32.1,29.5,25.4,41.2,10.2
Seattle Seahawks,11,199,31.9,29.8,25.3,36.2,10.6
Tennessee Titans,9,194,31.3,27.3,25.1,30.9,8.8
Los Angeles Rams,9,185,32.3,28.3,24.6,35.7,13
Philadelphia Eagles,9,196,30.8,28.2,24.1,34.7,9.7
Atlanta Falcons,7,174,34.9,28.7,23.8,40.8,13.2
Houston Texans,10,181,33.9,28.9,23.6,37.6,12.2
Green Bay Packers,13,177,31.2,28.8,23.5,37.3,6.8
Arizona Cardinals,5,178,30.6,27.7,22.6,38.8,10.1
Indianapolis Colts,7,167,31.3,27.9,22.6,36.5,11.4
Detroit Lions,3,183,30.3,28.6,21.3,33.3,12
New York Giants,4,185,29.2,26.9,21.3,28.6,17.8
Carolina Panthers,5,192,28.5,29,21.3,32.3,16.7
Los Angeles Chargers,5,161,36.6,26.3,21.1,39.1,18
Cleveland Browns,6,182,29.7,29.2,20.9,34.1,14.8
Buffalo Bills,10,197,29,28.7,19.6,31,10.2
Oakland Raiders,7,165,35.1,27.2,19.6,32.7,9.7
Miami Dolphins,5,182,27.1,27.7,19.1,30.2,13.2
Jacksonville Jaguars,6,177,30.9,25.9,18.8,33.9,10.2
Pittsburgh Steelers,8,187,23.5,29.5,18.1,28.9,16
Denver Broncos,7,173,27.6,27.6,17.6,32.4,9.2
Chicago Bears,8,175,27.2,28.5,17.5,29.1,10.3
Cincinnati Bengals,2,181,28.5,28,17.4,29.8,15.5
New York Jets,7,189,22.9,27,17.3,23.3,11.6
Washington Redskins,3,177,24.8,28.4,16.6,29.4,11.9
